Region,Department,Employment_type,Age,UserLanguage,is_synthetic,RespondentID
Utrecht,Research & Development,3-10 year,55+,NL,1,651dc736
Overijssel,Strategy & Innovation,>20 year,<25,NL,1,9730a19d
Drenthe,Quality & Safety,<3 year,25-35,NL,1,439f7e24
Zeeland,Klantenservice,>20 year,<25,NL,1,83961ce6
Friesland,Klantenservice,3-10 year,35-45,NL,1,ac964666
Noord-Holland,Data & Analytics,10-20 year,35-45,NL,1,55bbf6cf
Overijssel,Data & Analytics,<3 year,25-35,NL,1,2031782e
Overijssel,Marketing,<3 year,55+,NL,1,cca799ea
Zuid-Holland,Sustainability,<3 year,25-35,NL,1,0a39371e
Flevoland,Procurement,>20 year,35-45,NL,1,42776aa3
Flevoland,Sales,<3 year,25-35,NL,1,8d5db319
Flevoland,Operations,3-10 year,25-35,NL,1,5d20b647
Zuid-Holland,Maintenance & Management,3-10 year,45-55,NL,1,a160b6ef
Gelderland,Maintenance & Management,10-20 year,55+,NL,1,39488746
Friesland,Procurement,10-20 year,<25,NL,1,f7797cfd
Zuid-Holland,Klantenservice,10-20 year,<25,NL,1,edf80a05
Friesland,Projectmanagement,3-10 year,25-35,NL,1,84fbd14b
Zuid-Holland,Research & Development,<3 year,45-55,NL,1,d9fbb941
Gelderland,Strategy & Innovation,>20 year,25-35,NL,1,113ae405
Friesland,Operations,10-20 year,45-55,NL,1,b92ca280
Zuid-Holland,Projectmanagement,10-20 year,55+,NL,1,5265fbea
Drenthe,ICT,<3 year,45-55,NL,1,ff1219ab
Flevoland,Projectmanagement,<3 year,35-45,NL,1,0ccf9876
Utrecht,Maintenance & Management,<3 year,<25,NL,1,d1bed1d8
Utrecht,Finance,>20 year,45-55,NL,1,8a40f31b
Zuid-Holland,Supply Chain,>20 year,45-55,NL,1,157eb5e5
Zuid-Holland,Projectmanagement,10-20 year,45-55,NL,1,db9e6cc1
Friesland,Sales,<3 year,55+,NL,1,d1c6adf8
Limburg,Research & Development,3-10 year,55+,NL,1,69f55fa8
Utrecht,Research & Development,10-20 year,25-35,NL,1,73dad46f
Noord-Holland,Quality & Safety,3-10 year,55+,NL,1,ca887574
Utrecht,HR,10-20 year,25-35,NL,1,6cd159c0
Zuid-Holland,HR,>20 year,<25,NL,1,71a97bfb
Gelderland,Klantenservice,<3 year,55+,NL,1,c9f125b9
Flevoland,Finance,>20 year,55+,NL,1,13738592
Utrecht,Maintenance & Management,>20 year,<25,NL,1,b187a201
Flevoland,Supply Chain,3-10 year,25-35,NL,1,e7f227b2
Zeeland,Operations,10-20 year,<25,NL,1,c0911d06
Zuid-Holland,Supply Chain,3-10 year,25-35,NL,1,f04fde2d
Flevoland,HR,>20 year,35-45,NL,1,cec47fb3
Utrecht,Marketing,10-20 year,35-45,NL,1,f5d1b989
Utrecht,Quality & Safety,10-20 year,25-35,NL,1,3ec01865
Friesland,Communication,3-10 year,25-35,NL,1,21e12f7b
Noord-Holland,Finance,10-20 year,55+,NL,1,08c091c6
Gelderland,Projectmanagement,<3 year,55+,NL,1,8baceb38
Zeeland,Projectmanagement,10-20 year,25-35,NL,1,69f0a979
Zuid-Holland,Finance,3-10 year,55+,NL,1,efd23441
Noord-Holland,Quality & Safety,>20 year,25-35,NL,1,11e525ea
Drenthe,Sustainability,<3 year,35-45,NL,1,966a1fc4
Noord-Holland,Operations,<3 year,35-45,NL,1,624f2f5e
Zeeland,Finance,>20 year,35-45,NL,1,d49b7008
Drenthe,Maintenance & Management,<3 year,55+,NL,1,941b52ed
Noord-Holland,Data & Analytics,<3 year,35-45,NL,1,e158249d
Flevoland,Finance,10-20 year,35-45,NL,1,acd9c6e9
Utrecht,Research & Development,3-10 year,<25,NL,1,8493a680
Flevoland,Supply Chain,10-20 year,45-55,NL,1,0d64b25a
Gelderland,Procurement,>20 year,55+,NL,1,2c9519f3
Friesland,Sustainability,<3 year,35-45,NL,1,e6fbc870
Friesland,Projectmanagement,>20 year,55+,NL,1,2ce0911c
Friesland,Marketing,3-10 year,45-55,NL,1,e56b4765
Noord-Holland,Projectmanagement,10-20 year,55+,NL,1,d1452258
Zuid-Holland,Maintenance & Management,<3 year,55+,NL,1,46e33254
Limburg,Sales,>20 year,25-35,NL,1,786bff6e
Noord-Holland,Strategy & Innovation,<3 year,55+,NL,1,860c5f0b
Drenthe,Data & Analytics,3-10 year,25-35,NL,1,963bcb8b
Zeeland,Marketing,10-20 year,45-55,NL,1,18163c10
Gelderland,Procurement,<3 year,25-35,NL,1,c8b0bed1
Zeeland,Klantenservice,10-20 year,45-55,NL,1,9e1c1b0b
Flevoland,Communication,>20 year,45-55,NL,1,fa1277c0
Drenthe,ICT,3-10 year,25-35,NL,1,3658804e
Zeeland,Strategy & Innovation,3-10 year,35-45,NL,1,11ae86da
Noord-Holland,Data & Analytics,10-20 year,45-55,NL,1,53821933
Overijssel,Klantenservice,>20 year,35-45,NL,1,dcd20b62
Zeeland,Marketing,10-20 year,<25,NL,1,08f77890
Drenthe,Data & Analytics,3-10 year,<25,NL,1,5e206bc6
Friesland,Sustainability,<3 year,<25,NL,1,27d380da
Overijssel,Marketing,<3 year,35-45,NL,1,690d1d44
Utrecht,Maintenance & Management,10-20 year,25-35,NL,1,9b2c626e
Friesland,Sustainability,<3 year,45-55,NL,1,fe02165e
Drenthe,Data & Analytics,<3 year,35-45,NL,1,85d67bd7
Flevoland,Data & Analytics,3-10 year,55+,NL,1,e01169af
Drenthe,ICT,3-10 year,35-45,NL,1,0fc9ca12
Zeeland,Operations,>20 year,45-55,NL,1,f60b8596
Utrecht,ICT,<3 year,45-55,NL,1,a55ce6dd
Friesland,HR,3-10 year,25-35,NL,1,50df5ae7
Noord-Holland,Operations,3-10 year,55+,NL,1,67be3211
Overijssel,Projectmanagement,>20 year,25-35,NL,1,03b05213
Overijssel,Klantenservice,>20 year,55+,NL,1,7ce18ec5
Overijssel,Maintenance & Management,10-20 year,45-55,NL,1,be8bf170
Gelderland,Sales,3-10 year,<25,NL,1,e43af21d
Zeeland,Procurement,10-20 year,45-55,NL,1,387bf9b8
Limburg,Klantenservice,<3 year,25-35,NL,1,e83fe171
Utrecht,Sustainability,<3 year,<25,NL,1,21750cd3
Zeeland,Strategy & Innovation,<3 year,<25,NL,1,0afd2f71
Zeeland,Research & Development,10-20 year,45-55,NL,1,c29669e8
Flevoland,Marketing,10-20 year,55+,NL,1,e2ceea4d
Overijssel,Finance,3-10 year,<25,NL,1,3a4cf511
Drenthe,Operations,>20 year,35-45,NL,1,9f4b0b29
Zuid-Holland,HR,3-10 year,55+,NL,1,516c80ea
Utrecht,Klantenservice,3-10 year,45-55,NL,1,d1726afd
Zeeland,Marketing,<3 year,45-55,NL,1,3042351e
Utrecht,Sustainability,3-10 year,45-55,NL,1,ceb9bfba
Friesland,Maintenance & Management,3-10 year,55+,NL,1,8aa4311e
Gelderland,Maintenance & Management,<3 year,45-55,NL,1,49f3e2f1
Overijssel,Strategy & Innovation,<3 year,35-45,NL,1,93c7e2bf
Flevoland,Sales,3-10 year,<25,NL,1,4564cfac
Gelderland,Maintenance & Management,3-10 year,55+,NL,1,00eb413e
Utrecht,Sales,3-10 year,45-55,NL,1,a5154f5a
Utrecht,Procurement,10-20 year,35-45,NL,1,71cfd1fb
Zeeland,ICT,>20 year,<25,NL,1,7a4476cf
Noord-Holland,Projectmanagement,>20 year,55+,NL,1,37bd9af3
Gelderland,Quality & Safety,>20 year,45-55,NL,1,f4202b4b
Gelderland,Marketing,10-20 year,25-35,NL,1,63afbb7c
Overijssel,Maintenance & Management,3-10 year,25-35,NL,1,32e391f0
Drenthe,Projectmanagement,<3 year,35-45,NL,1,7.18E+05
Flevoland,Marketing,>20 year,<25,NL,1,25bad476
Utrecht,Klantenservice,>20 year,25-35,NL,1,7794a257
Zuid-Holland,Research & Development,10-20 year,25-35,NL,1,d0f0f2dc
Noord-Holland,Strategy & Innovation,3-10 year,35-45,NL,1,1fbc5e46
Gelderland,Klantenservice,10-20 year,55+,NL,1,318033f8
Zuid-Holland,Supply Chain,<3 year,35-45,NL,1,4e2124ef
Overijssel,Sales,3-10 year,45-55,NL,1,324e88a1
Noord-Holland,Marketing,10-20 year,55+,NL,1,158e6d96
Limburg,Maintenance & Management,>20 year,35-45,NL,1,da4f9419
Gelderland,Strategy & Innovation,3-10 year,35-45,NL,1,4aec773a
Flevoland,Data & Analytics,<3 year,25-35,NL,1,d673ea29
Noord-Holland,Procurement,10-20 year,55+,NL,1,d191d4c0
Noord-Holland,Marketing,10-20 year,25-35,NL,1,db07d94e
Drenthe,Data & Analytics,3-10 year,35-45,NL,1,8fd9564b
Limburg,Klantenservice,10-20 year,25-35,NL,1,18809ad1
Gelderland,Research & Development,<3 year,25-35,NL,1,dc83bd7d
Limburg,Quality & Safety,10-20 year,55+,NL,1,5922fd9b
Noord-Holland,Operations,>20 year,25-35,NL,1,91d070a4
Overijssel,Marketing,10-20 year,45-55,NL,1,99ffa509
Overijssel,Supply Chain,<3 year,35-45,NL,1,af145b3e
Utrecht,Procurement,10-20 year,55+,NL,1,f34e4aa8
Overijssel,HR,>20 year,<25,NL,1,06a32fa2
Zuid-Holland,Marketing,10-20 year,<25,NL,1,68628de1
Flevoland,Klantenservice,3-10 year,<25,NL,1,5350fbdc
Flevoland,Projectmanagement,3-10 year,25-35,NL,1,5b4087cb
Overijssel,Communication,3-10 year,45-55,NL,1,32065bc3
Limburg,Communication,3-10 year,45-55,NL,1,2ba0396a
Friesland,Klantenservice,<3 year,55+,NL,1,836d9569
Drenthe,Maintenance & Management,>20 year,55+,NL,1,0d590304
Gelderland,HR,3-10 year,45-55,NL,1,69a5b294
Zeeland,Sales,3-10 year,35-45,NL,1,bce46a77
Limburg,Strategy & Innovation,10-20 year,<25,NL,1,5e820493
Noord-Holland,Finance,3-10 year,35-45,NL,1,db927c2f
Zuid-Holland,ICT,10-20 year,35-45,NL,1,00faa9cb
Zeeland,Finance,>20 year,55+,NL,1,ddcf2bb3
Utrecht,Communication,3-10 year,<25,NL,1,4c84441b
Utrecht,Finance,10-20 year,55+,NL,1,82b294fc
Noord-Holland,Sales,<3 year,<25,NL,1,1a28a803
Noord-Holland,Sustainability,10-20 year,45-55,NL,1,16f2146c
Noord-Holland,Research & Development,>20 year,55+,NL,1,826d9af7
Limburg,Projectmanagement,>20 year,35-45,NL,1,85aab4a0
Gelderland,Sales,>20 year,55+,NL,1,dcaaf9bb
Zuid-Holland,ICT,<3 year,25-35,NL,1,46210b38
Zuid-Holland,Finance,10-20 year,55+,NL,1,26124768
Noord-Holland,Projectmanagement,<3 year,55+,NL,1,089e5683
Gelderland,Sales,>20 year,35-45,NL,1,bf8778bb
Zeeland,Finance,10-20 year,25-35,NL,1,5df65940
Noord-Holland,Communication,3-10 year,35-45,NL,1,ea9590c9
Overijssel,Sustainability,>20 year,55+,NL,1,ba9b2665
Flevoland,ICT,10-20 year,45-55,NL,1,bb0c6590
Limburg,Operations,3-10 year,<25,NL,1,ad72c07c
Drenthe,Maintenance & Management,10-20 year,<25,NL,1,8141a89f
Friesland,Procurement,<3 year,35-45,NL,1,5973f0e7
Zuid-Holland,Marketing,3-10 year,55+,NL,1,3009e338
Zuid-Holland,Sales,<3 year,45-55,NL,1,836bc7ee
Friesland,Finance,3-10 year,55+,NL,1,0dcb34c1
Flevoland,Supply Chain,>20 year,35-45,NL,1,dfd5a676
Gelderland,Communication,3-10 year,55+,NL,1,b5233c2a
Gelderland,Finance,10-20 year,35-45,NL,1,6f2ede98
Flevoland,Communication,3-10 year,35-45,NL,1,85ffe65d
Limburg,Procurement,3-10 year,<25,NL,1,91d914a7
Noord-Holland,Procurement,<3 year,35-45,NL,1,bf042498
Flevoland,Operations,<3 year,45-55,NL,1,d8fb3575
Gelderland,Marketing,3-10 year,35-45,NL,1,289b11fb
Flevoland,Klantenservice,10-20 year,25-35,NL,1,52011caa
Noord-Holland,Maintenance & Management,<3 year,<25,NL,1,1741127f
Drenthe,Quality & Safety,10-20 year,<25,NL,1,9b88d9d4
Gelderland,Quality & Safety,>20 year,25-35,NL,1,8b5bc31f
Flevoland,Klantenservice,10-20 year,45-55,NL,1,a8017ae8
Noord-Holland,Maintenance & Management,10-20 year,55+,NL,1,f9473688
Friesland,Quality & Safety,3-10 year,55+,NL,1,3d6489fc
Zeeland,Projectmanagement,3-10 year,45-55,NL,1,e1a8b08c
Limburg,Klantenservice,10-20 year,55+,NL,1,e9840c66
Zuid-Holland,Strategy & Innovation,<3 year,35-45,NL,1,2497aab1
Utrecht,Research & Development,3-10 year,25-35,NL,1,4f62763a
Drenthe,Finance,<3 year,<25,NL,1,d9f63e18
Friesland,Maintenance & Management,>20 year,25-35,NL,1,1bf9cb52
Noord-Holland,Maintenance & Management,3-10 year,25-35,NL,1,5310931
Utrecht,Finance,<3 year,25-35,NL,1,ac8222e2
Gelderland,ICT,<3 year,55+,NL,1,f0b90816
Flevoland,Marketing,<3 year,25-35,NL,1,81385360
Gelderland,Sales,10-20 year,45-55,NL,1,9c230536
Overijssel,Strategy & Innovation,<3 year,55+,NL,1,032f2ab5
Utrecht,HR,>20 year,<25,NL,1,cce59612
Utrecht,Maintenance & Management,3-10 year,35-45,NL,1,f32c9407
Limburg,Procurement,10-20 year,45-55,NL,1,3d3e1a24
Zuid-Holland,Marketing,<3 year,25-35,NL,1,a468e635
Gelderland,Marketing,10-20 year,<25,NL,1,56c0257f
Flevoland,Data & Analytics,10-20 year,25-35,NL,1,8f705c39
Utrecht,Klantenservice,10-20 year,<25,NL,1,1ccf6d87
Gelderland,Sustainability,>20 year,45-55,NL,1,469c4718
Limburg,Research & Development,<3 year,25-35,NL,1,88b7f680
Friesland,HR,10-20 year,<25,NL,1,936092b5
Zuid-Holland,Strategy & Innovation,3-10 year,45-55,NL,1,46efa934
Gelderland,Klantenservice,>20 year,25-35,NL,1,292b5033
Zeeland,Data & Analytics,>20 year,<25,NL,1,8ff8061e
Flevoland,Finance,<3 year,<25,NL,1,cf5a1976
Drenthe,Communication,3-10 year,55+,NL,1,1df0c9a7
Zuid-Holland,HR,3-10 year,35-45,NL,1,cf545e68
Overijssel,Research & Development,10-20 year,55+,NL,1,d8331073
Utrecht,Communication,<3 year,45-55,NL,1,f2b61cfa
Drenthe,Finance,3-10 year,25-35,NL,1,a3d210ce
Drenthe,Sustainability,10-20 year,55+,NL,1,1d3926ab
Friesland,Klantenservice,<3 year,<25,NL,1,a20aa164
Drenthe,Data & Analytics,10-20 year,35-45,NL,1,6579d940
Zeeland,Procurement,<3 year,<25,NL,1,e682cab3
Drenthe,Procurement,>20 year,55+,NL,1,9a95479e
Drenthe,Klantenservice,3-10 year,<25,NL,1,189b0f2f
Overijssel,ICT,10-20 year,55+,NL,1,63bdefa9
Noord-Holland,Strategy & Innovation,>20 year,<25,NL,1,3df7839b
Flevoland,Klantenservice,10-20 year,<25,NL,1,3210bdc9
Overijssel,Operations,>20 year,25-35,NL,1,37a04382
Gelderland,Communication,10-20 year,45-55,NL,1,d8ad1929
Gelderland,Finance,3-10 year,35-45,NL,1,ba2ceb87
Gelderland,Klantenservice,>20 year,<25,NL,1,be958619
Overijssel,Klantenservice,10-20 year,55+,NL,1,0451be75
Utrecht,Finance,3-10 year,35-45,NL,1,9bc9e6bb
Gelderland,Sales,3-10 year,55+,NL,1,9da8d53e
Overijssel,Quality & Safety,<3 year,45-55,NL,1,f0822d0a
Utrecht,ICT,10-20 year,25-35,NL,1,cf4c5d62
Overijssel,Finance,>20 year,<25,NL,1,416a899f
Friesland,Sales,>20 year,25-35,NL,1,8d65c2c9
Gelderland,Procurement,3-10 year,35-45,NL,1,b7547027
Friesland,Strategy & Innovation,>20 year,55+,NL,1,5d060609
Drenthe,Data & Analytics,3-10 year,45-55,NL,1,5a9af0ab
Zeeland,Data & Analytics,10-20 year,45-55,NL,1,a21a9834
Zeeland,Finance,<3 year,45-55,NL,1,ba2ca6ee
Gelderland,ICT,<3 year,35-45,NL,1,07445dda
Utrecht,Strategy & Innovation,<3 year,45-55,NL,1,72503497
Overijssel,Klantenservice,3-10 year,45-55,NL,1,018a29b4
Overijssel,ICT,3-10 year,35-45,NL,1,2043ffa7
Noord-Holland,Communication,>20 year,55+,NL,1,966a2f65
Flevoland,Marketing,<3 year,35-45,NL,1,4acce7c8
Utrecht,Marketing,<3 year,45-55,NL,1,7fdf95db
Zeeland,Klantenservice,10-20 year,<25,NL,1,ff522e73
Gelderland,Research & Development,10-20 year,35-45,NL,1,d3a5bb4e
Friesland,Marketing,10-20 year,<25,NL,1,a97e2d10
Overijssel,Strategy & Innovation,3-10 year,55+,NL,1,2f5e6e3f
Zuid-Holland,Communication,10-20 year,<25,NL,1,765045ea
Noord-Holland,Supply Chain,3-10 year,45-55,NL,1,87efc95b
Zeeland,Communication,>20 year,35-45,NL,1,35f09974
Zeeland,Operations,3-10 year,55+,NL,1,76f9c561
Utrecht,Research & Development,10-20 year,55+,NL,1,719baadd
Limburg,Data & Analytics,3-10 year,55+,NL,1,0449e35c
Noord-Holland,Supply Chain,10-20 year,45-55,NL,1,764496da
Friesland,Finance,3-10 year,35-45,NL,1,f82f6ae6
Gelderland,Quality & Safety,3-10 year,25-35,NL,1,db288f8b
Noord-Holland,Finance,3-10 year,55+,NL,1,dda9c13e
Overijssel,Sales,3-10 year,55+,NL,1,d449a309
Limburg,Strategy & Innovation,>20 year,45-55,NL,1,299dbe38
Flevoland,Supply Chain,>20 year,25-35,NL,1,638b17f7
Flevoland,Marketing,<3 year,45-55,NL,1,303d0a83
Zeeland,Quality & Safety,10-20 year,45-55,NL,1,9645d936
Friesland,Projectmanagement,<3 year,55+,NL,1,4.06E+05
Flevoland,Strategy & Innovation,>20 year,25-35,NL,1,d5f4a1e1
Friesland,Sustainability,10-20 year,<25,NL,1,622bec58
Gelderland,Data & Analytics,>20 year,25-35,NL,1,c6d29b21
Flevoland,Data & Analytics,<3 year,45-55,NL,1,fb09d1f5
Gelderland,Communication,3-10 year,45-55,NL,1,ec19acf8
Friesland,Procurement,>20 year,<25,NL,1,6e547146
Utrecht,Quality & Safety,>20 year,45-55,NL,1,c975f9af
Overijssel,Data & Analytics,10-20 year,55+,NL,1,c8931e45
Overijssel,Maintenance & Management,3-10 year,45-55,NL,1,69ea0236
Overijssel,Strategy & Innovation,10-20 year,<25,NL,1,8dcb19c6
Limburg,ICT,3-10 year,45-55,NL,1,8b5273f5
Flevoland,Sustainability,10-20 year,25-35,NL,1,52024bf5
Zeeland,Sales,<3 year,35-45,NL,1,9970f1bc
Utrecht,Operations,<3 year,35-45,NL,1,851218f2
Friesland,Sales,3-10 year,35-45,NL,1,c55f6410
Zuid-Holland,ICT,<3 year,45-55,NL,1,8d18aaeb
Friesland,Strategy & Innovation,>20 year,35-45,NL,1,5070b463
Limburg,Operations,>20 year,45-55,NL,1,4edff6e4
Utrecht,Strategy & Innovation,10-20 year,55+,NL,1,a9ed715b
Friesland,Research & Development,>20 year,25-35,NL,1,7137a844
Utrecht,HR,3-10 year,55+,NL,1,982beb50
Limburg,Projectmanagement,>20 year,<25,NL,1,60892f63
Noord-Holland,Communication,>20 year,<25,NL,1,ab73f492
Utrecht,Maintenance & Management,10-20 year,45-55,NL,1,4fa54b64
Noord-Holland,Research & Development,10-20 year,25-35,NL,1,77d559ab
Limburg,ICT,3-10 year,35-45,NL,1,bffc742b
Flevoland,HR,<3 year,<25,NL,1,a1c2d5ab
Noord-Holland,Operations,3-10 year,25-35,NL,1,2203c8a7
Noord-Holland,Sales,10-20 year,25-35,NL,1,2ff83386
Zuid-Holland,Operations,<3 year,<25,NL,1,b13dbbb6
Overijssel,Procurement,10-20 year,35-45,NL,1,ba15f0d2
Noord-Holland,Marketing,>20 year,35-45,NL,1,07b08acb
Zuid-Holland,Sales,10-20 year,35-45,NL,1,80f68024
Zuid-Holland,Research & Development,<3 year,<25,NL,1,6a6e204d
Gelderland,Quality & Safety,10-20 year,55+,NL,1,349d8934
Zuid-Holland,Sales,>20 year,25-35,NL,1,9bedffaa
Zuid-Holland,Quality & Safety,<3 year,25-35,NL,1,db28e999
Drenthe,Research & Development,>20 year,25-35,NL,1,21dd0dd7
Noord-Holland,Sustainability,>20 year,35-45,NL,1,d354df8f
Zeeland,Supply Chain,10-20 year,25-35,NL,1,52992326
Limburg,Strategy & Innovation,3-10 year,<25,NL,1,1c6c1d81
Zuid-Holland,Strategy & Innovation,>20 year,<25,NL,1,c75d886d
Zuid-Holland,Sustainability,3-10 year,35-45,NL,1,2e7a05d2
Noord-Holland,Supply Chain,>20 year,45-55,NL,1,5f3fe9a6
Noord-Holland,Klantenservice,10-20 year,45-55,NL,1,7b66a30f
Utrecht,Communication,10-20 year,45-55,NL,1,429ece87
Drenthe,Strategy & Innovation,10-20 year,25-35,NL,1,8c432c1e
Noord-Holland,Communication,3-10 year,25-35,NL,1,538aaafa
Noord-Holland,Finance,<3 year,25-35,NL,1,b743fa57
Drenthe,Data & Analytics,10-20 year,<25,NL,1,32f86165
Zeeland,Research & Development,<3 year,55+,NL,1,3b9a998e
Gelderland,Maintenance & Management,3-10 year,45-55,NL,1,6304eeab
Limburg,ICT,3-10 year,<25,NL,1,916401a5
Noord-Holland,Maintenance & Management,3-10 year,55+,NL,1,ae4bd96a
Overijssel,Sales,<3 year,45-55,NL,1,f93e7727
Flevoland,Sales,10-20 year,<25,NL,1,8d9c99e8
Friesland,Finance,<3 year,45-55,NL,1,cfd1acdb
Drenthe,Finance,10-20 year,<25,NL,1,71ba8d87
Drenthe,Supply Chain,10-20 year,45-55,NL,1,8d1869b6
Zeeland,Sustainability,>20 year,45-55,NL,1,ceec9739
Utrecht,Finance,>20 year,<25,NL,1,802dc5ef
Overijssel,HR,10-20 year,45-55,NL,1,aba22237
Zeeland,Maintenance & Management,3-10 year,45-55,NL,1,ff423033
Friesland,Data & Analytics,>20 year,45-55,NL,1,b4228cf8
Friesland,Projectmanagement,10-20 year,<25,NL,1,d919be52
Gelderland,Supply Chain,3-10 year,25-35,NL,1,0c8b82e5
Overijssel,Sustainability,>20 year,<25,NL,1,f8656bcc
Zuid-Holland,Procurement,3-10 year,45-55,NL,1,41fc07da
Overijssel,Maintenance & Management,3-10 year,35-45,NL,1,6932e585
Gelderland,Finance,<3 year,25-35,NL,1,2b8ca9db
Overijssel,HR,10-20 year,25-35,NL,1,ae60a101
Flevoland,Strategy & Innovation,10-20 year,45-55,NL,1,69474537
Overijssel,Operations,10-20 year,<25,NL,1,bcd889b0
Zeeland,Research & Development,<3 year,25-35,NL,1,86671872
Noord-Holland,Communication,3-10 year,45-55,NL,1,104864db
Gelderland,HR,10-20 year,55+,NL,1,facc9a35
Noord-Holland,Sales,3-10 year,35-45,NL,1,c6753639
Noord-Holland,Maintenance & Management,3-10 year,45-55,NL,1,e707a60d
Gelderland,Supply Chain,10-20 year,<25,NL,1,ce989306
Zeeland,Research & Development,10-20 year,25-35,NL,1,f64c8ebe
Overijssel,Sales,3-10 year,25-35,NL,1,12795127
Utrecht,Sales,<3 year,55+,NL,1,bd5137a6
Friesland,Procurement,<3 year,45-55,NL,1,cabb2c2d
Zeeland,Maintenance & Management,10-20 year,45-55,NL,1,3b39ec2d
Overijssel,Supply Chain,3-10 year,55+,NL,1,1ef79ffe
Zeeland,Supply Chain,>20 year,35-45,NL,1,9d360b0e
Zuid-Holland,Strategy & Innovation,>20 year,55+,NL,1,f64d5707
Overijssel,Sustainability,<3 year,25-35,NL,1,df489a09
Drenthe,Sales,10-20 year,45-55,NL,1,b5c7aad6
Drenthe,Supply Chain,3-10 year,25-35,NL,1,54b2c2cf
Drenthe,Marketing,<3 year,25-35,NL,1,f5fa28d5
Friesland,Supply Chain,10-20 year,35-45,NL,1,214660d4
Zuid-Holland,ICT,<3 year,55+,NL,1,2f214a49
Noord-Holland,Procurement,3-10 year,25-35,NL,1,dbdeeeb6
Drenthe,Communication,10-20 year,35-45,NL,1,b2ebfc84
Flevoland,HR,<3 year,25-35,NL,1,07136f70
Zeeland,Sustainability,<3 year,<25,NL,1,29d14f70
Gelderland,Finance,<3 year,45-55,NL,1,bb42caa4
Friesland,Supply Chain,<3 year,35-45,NL,1,ab9e37b7
Utrecht,Finance,<3 year,45-55,NL,1,e296ad02
Overijssel,Sales,>20 year,25-35,NL,1,799ba94e
Drenthe,Marketing,<3 year,55+,NL,1,4611714f
Gelderland,Data & Analytics,10-20 year,25-35,NL,1,496d7940
Zuid-Holland,Procurement,10-20 year,25-35,NL,1,87ec518a
Limburg,Sustainability,10-20 year,<25,NL,1,6010531
Overijssel,Communication,3-10 year,35-45,NL,1,f3eb6546
Flevoland,Communication,>20 year,<25,NL,1,f3040a2b
Gelderland,Klantenservice,10-20 year,45-55,NL,1,81266850
Gelderland,Marketing,3-10 year,45-55,NL,1,68cfdec4
Limburg,Supply Chain,10-20 year,<25,NL,1,95bf0518
Utrecht,Supply Chain,<3 year,25-35,NL,1,69d5cd63
Gelderland,Research & Development,>20 year,25-35,NL,1,08e76d4e
Flevoland,Maintenance & Management,>20 year,25-35,NL,1,80408308
Zuid-Holland,Sustainability,10-20 year,45-55,NL,1,0af31d55
Utrecht,Supply Chain,>20 year,55+,NL,1,3cab8248
Noord-Holland,Finance,>20 year,<25,NL,1,73b5544c
Zeeland,Supply Chain,>20 year,45-55,NL,1,42505cd8
Friesland,Sales,10-20 year,55+,NL,1,b285c03c
Zuid-Holland,ICT,>20 year,35-45,NL,1,6be90c9f
Noord-Holland,Marketing,<3 year,35-45,NL,1,4700cec3
Zuid-Holland,Marketing,>20 year,25-35,NL,1,19647b88
Flevoland,Research & Development,<3 year,25-35,NL,1,40fbce29
Limburg,Klantenservice,3-10 year,35-45,NL,1,207a1f9f
Drenthe,Quality & Safety,>20 year,<25,NL,1,edd3a0d2
Noord-Holland,Data & Analytics,10-20 year,25-35,NL,1,4328c025
Zuid-Holland,Data & Analytics,<3 year,<25,NL,1,9e646b36
Overijssel,Marketing,3-10 year,<25,NL,1,4e70cbae
Drenthe,Procurement,<3 year,25-35,NL,1,05ae8633
Friesland,Procurement,10-20 year,25-35,NL,1,fc96fe1b
Flevoland,ICT,>20 year,45-55,NL,1,2ff07119
Flevoland,Supply Chain,>20 year,55+,NL,1,3a53b3cf
Limburg,Supply Chain,3-10 year,45-55,NL,1,b338dd30
Friesland,Maintenance & Management,<3 year,<25,NL,1,bd967c8d
Gelderland,Supply Chain,<3 year,55+,NL,1,ad2b3ab5
Flevoland,Communication,3-10 year,45-55,NL,1,b4fd0ddd
Friesland,Communication,>20 year,35-45,NL,1,b4d0996d
Zuid-Holland,Research & Development,>20 year,55+,NL,1,a23bf8a0
Drenthe,Sustainability,3-10 year,25-35,NL,1,73e14aca
Overijssel,Supply Chain,10-20 year,<25,NL,1,6758260b
Gelderland,Sustainability,3-10 year,55+,NL,1,564c660d
Flevoland,Klantenservice,3-10 year,25-35,NL,1,571d9eda
Zuid-Holland,Supply Chain,10-20 year,45-55,NL,1,d83937f7
Zeeland,Marketing,>20 year,45-55,NL,1,fa47ac78
Zuid-Holland,Marketing,>20 year,55+,NL,1,41fd7c7e
Noord-Holland,Sustainability,>20 year,55+,NL,1,e814f457
Noord-Holland,Data & Analytics,10-20 year,55+,NL,1,111dac36
Noord-Holland,HR,<3 year,55+,NL,1,835b8e74
Utrecht,ICT,>20 year,45-55,NL,1,f8c11025
Zeeland,ICT,3-10 year,<25,NL,1,d2ca2d2f
Overijssel,Research & Development,3-10 year,<25,NL,1,3ca17e6a
Drenthe,Research & Development,10-20 year,55+,NL,1,63ef807e
Utrecht,Quality & Safety,10-20 year,<25,NL,1,7e94a56f
Gelderland,Finance,>20 year,45-55,NL,1,a16ba274
Gelderland,Operations,<3 year,35-45,NL,1,3bc7336f
